t,x1,y1,z1,x2,y2,z2,x3,y3,z3,vx1,vy1,vz1,vx2,vy2,vz2,vx3,vy3,vz3
0.0575,0.0,0.0,0.0,0.997932212536044,0.00919365276719722,0.0009193652767197206,-0.997932212536044,-0.00919365276719722,-0.0009193652767197206,0.0,0.0,0.0,-0.07197115487304676,0.1596684826811632,0.01596684826811632,0.07197115487304676,-0.1596684826811632,-0.01596684826811632
0.06,0.0,0.0,0.0,0.9977483622352312,0.009592787312550005,0.0009592787312549988,-0.9977483622352312,-0.009592787312550005,-0.0009592787312549988,0.0,0.0,0.0,-0.07510927146924487,0.15963894180558744,0.015963894180558744,0.07510927146924487,-0.15963894180558744,-0.015963894180558744
0.0625,0.0,0.0,0.0,0.9975566652220628,0.009991846415892618,0.00099918464158926,-0.9975566652220628,-0.009991846415892618,-0.00099918464158926,0.0,0.0,0.0,-0.07824853271777618,0.15960812877305905,0.015960812877305903,0.07824853271777618,-0.15960812877305905,-0.015960812877305903
0.065,0.0,0.0,0.0,0.9973571185743447,0.010390826894477106,0.0010390826894477088,-0.9973571185743447,-0.010390826894477106,-0.0010390826894477088,0.0,0.0,0.0,-0.08138898712658399,0.15957604168304526,0.015957604168304523,0.08138898712658399,-0.15957604168304526,-0.015957604168304523
0.0675,0.0,0.0,0.0,0.9971497192484993,0.010789725560704821,0.0010789725560704801,-0.9971497192484993,-0.010789725560704821,-0.0010789725560704801,0.0,0.0,0.0,-0.08453068330418265,0.15954267855472865,0.015954267855472864,0.08453068330418265,-0.15954267855472865,-0.01595426785547286
0.07,0.0,0.0,0.0,0.9969344640793052,0.011188539221925153,0.0011188539221925133,-0.9969344640793052,-0.011188539221925153,-0.0011188539221925133,0.0,0.0,0.0,-0.08767366996385925,0.1595080373266785,0.01595080373266785,0.08767366996385925,-0.1595080373266785,-0.01595080373266785
0.0725,0.0,0.0,0.0,0.9967113497796287,0.011587264680233394,0.0011587264680233372,-0.9967113497796287,-0.011587264680233394,-0.0011587264680233372,0.0,0.0,0.0,-0.09081799592789738,0.15947211585650856,0.015947211585650854,0.09081799592789738,-0.15947211585650856,-0.015947211585650854
0.075,0.0,0.0,0.0,0.9964803729401422,0.011985898732267705,0.0011985898732267681,-0.9964803729401422,-0.011985898732267705,-0.0011985898732267681,0.0,0.0,0.0,-0.09396371013182314,0.15943491192052028,0.015943491192052028,0.09396371013182314,-0.15943491192052028,-0.015943491192052028
0.0775,0.0,0.0,0.0,0.9962415300290334,0.012384438169005122,0.00123844381690051,-0.9962415300290334,-0.012384438169005122,-0.00123844381690051,0.0,0.0,0.0,-0.09711086162867469,0.1593964232133325,0.01593964232133325,0.09711086162867469,-0.1593964232133325,-0.01593964232133325
0.08,0.0,0.0,0.0,0.9959948173917024,0.012782879775556647,0.0012782879775556624,-0.9959948173917024,-0.012782879775556647,-0.0012782879775556624,0.0,0.0,0.0,-0.1002594995932965,0.1593566473474961,0.01593566473474961,0.1002594995932965,-0.1593566473474961,-0.01593566473474961
