t,x1,y1,z1,x2,y2,z2,x3,y3,z3
0.365,-1.4647033737546952e-17,-2.2513294745368788e-18,-3.3971573255211155e-19,0.9154067029249343,0.21263561576743617,0.035439269294572695,-0.9154067029249343,-0.21263561576743617,-0.035439269294572695
0.37,-1.4740414271501273e-17,-2.3283701309549122e-18,-3.527487502358495e-19,0.9130342749784605,0.21536174665412636,0.035893624442354395,-0.9130342749784605,-0.21536174665412636,-0.035893624442354395
0.375,-1.483713812439173e-17,-2.403848468369381e-18,-3.648840091895803e-19,0.9106273602393592,0.21807974286618495,0.03634662381103083,-0.9106273602393592,-0.21807974286618495,-0.03634662381103083
0.38,-1.496560033257771e-17,-2.4710189808879365e-18,-3.741371541057752e-19,0.9081858626936161,0.2207894569702936,0.03679824282838227,-0.9081858626936161,-0.2207894569702936,-0.03679824282838227
0.385,-1.5151283931380918e-17,-2.523369895690325e-18,-3.788506837612804e-19,0.9057096845745694,0.22349073974624895,0.03724845662437483,-0.9057096845745694,-0.22349073974624895,-0.03724845662437483
0.39,-1.5412628189157834e-17,-2.5555003016087097e-18,-3.7795913131333207e-19,0.9031987263414271,0.2261834401421728,0.03769724002369547,-0.9031987263414271,-0.2261834401421728,-0.03769724002369547
0.395,-1.5758590105339395e-17,-2.563713831879916e-18,-3.7113288452491893e-19,0.9006528866572725,0.2288674052284632,0.038144567538077205,-0.9006528866572725,-0.2288674052284632,-0.038144567538077205
0.4,-1.6187678210774168e-17,-2.5463597456690144e-18,-3.5881715588184985e-19,0.8980720623665465,0.23154248015045542,0.038590413358409244,-0.8980720623665465,-0.23154248015045542,-0.038590413358409244
0.405,-1.668823770871125e-17,-2.5039522529636435e-18,-3.42182612563882e-19,0.8954561484719961,0.2342085080797613,0.039034751346626886,-0.8954561484719961,-0.2342085080797613,-0.039034751346626886
0.41000000000000003,-1.7239765994759145e-17,-2.4390989274384998e-18,-3.230041762322665e-19,0.8928050381110818,0.2368653301642558,0.039477555027375974,-0.8928050381110818,-0.2368653301642558,-0.039477555027375974
0.41500000000000004,-1.7815037594156865e-17,-2.3562690518893888e-18,-3.034845025960665e-19,0.89011862253183,0.23951278547667962,0.039918797579446615,-0.89011862253183,-0.23951278547667962,-0.039918797579446615
0.42,-1.8382817554693477e-17,-2.2614327408362546e-18,-2.8603865071960614e-19,0.8873967910681234,0.24215071096182644,0.04035845182697108,-0.8873967910681234,-0.24215071096182644,-0.04035845182697108
0.425,-1.8910942333612403e-17,-2.1616016848945946e-18,-2.7305645203340324e-19,0.8846394311144172,0.24477894138228362,0.04079649023038061,-0.8846394311144172,-0.24477894138228362,-0.04079649023038061
0.43,-1.9369547216836587e-17,-2.0643023615146813e-18,-2.666590890109467e-19,0.8818464280998728,0.247397309262695,0.041232884877115836,-0.8818464280998728,-0.247397309262695,-0.041232884877115836
0.435,-1.973421930885097e-17,-1.977012556687983e-18,-2.684663934736696e-19,0.8790176654618972,0.2500056448325146,0.041667607472085776,-0.8790176654618972,-0.2500056448325146,-0.041667607472085776
0.44,-1.998885513157831e-17,-1.9065920422202093e-18,-2.793913744864785e-19,0.876153024619079,0.2526037759672203,0.04210062932787005,-0.876153024619079,-0.2526037759672203,-0.04210062932787005
0.445,-2.0128001870584763e-17,-1.8587382531703844e-18,-2.994784858061925e-19,0.8732523849435108,0.2551915281279552,0.0425319213546592,-0.8732523849435108,-0.2551915281279552,-0.0425319213546592
0.45,-2.0158461306951342e-17,-1.837497810055358e-18,-3.278021428452498e-19,0.8703156237324878,0.25776872429956693,0.04296145404992782,-0.8703156237324878,-0.25776872429956693,-0.04296145404992782
0.455,-2.009993547314758e-17,-1.844864730419171e-18,-3.6244199911303685e-19,0.8673426161795719,0.2603351849270122,0.04338919748783537,-0.8673426161795719,-0.2603351849270122,-0.04338919748783537
0.46,-1.9984493071243624e-17,-1.880496174366679e-18,-4.0055149209719858e-19,0.8643332353450122,0.26289072785009615,0.04381512130834936,-0.8643332353450122,-0.26289072785009615,-0.04381512130834936
0.465,-1.9854635691796956e-17,-1.9415765686608443e-18,-4.385361685472814e-19,0.8612873521255117,0.2654351682365151,0.04423919470608584,-0.8612873521255117,-0.2654351682365151,-0.04423919470608584
0.47000000000000003,-1.975974287175007e-17,-2.0228609539831145e-18,-4.723582991230718e-19,0.8582048352233286,0.26796831851317116,0.04466138641886186,-0.8582048352233286,-0.26796831851317116,-0.04466138641886186
0.47500000000000003,-1.9750675029675267e-17,-2.1169283999562874e-18,-4.979842923699793e-19,0.8550855511147045,0.2704899882957281,0.04508166471595468,-0.8550855511147045,-0.2704899882957281,-0.04508166471595468
0.48,-1.987231331670288e-17,-2.214676332529281e-18,-5.119914179838272e-19,0.8519293640176074,0.27299998431637607,0.045499997386062675,-0.8519293640176074,-0.27299998431637607,-0.045499997386062675
0.485,-2.0153815421469133e-17,-2.3060866183232186e-18,-5.123503493274023e-19,0.8487361358587797,0.27549811034977534,0.04591635172496254,-0.8487361358587797,-0.27549811034977534,-0.04591635172496254
0.49,-2.0596366367419862e-17,-2.3812942505382253e-18,-4.994000351611206e-19,0.8455057262400828,0.2779841671371463,0.04633069452285771,-0.8455057262400828,-0.2779841671371463,-0.04633069452285771
0.495,-2.115820334080643e-17,-2.4319894810203706e-18,-4.770314105501682e-19,0.8422379924041257,0.28045795230847603,0.04674299205141266,-0.8422379924041257,-0.28045795230847603,-0.04674299205141266
0.5,-2.1736693587709957e-17,-2.453184243088147e-18,-4.540964569104708e-19,0.8389327891991695,0.2829192603028086,0.0471532100504681,-0.8389327891991695,-0.2829192603028086,-0.0471532100504681
0.505,-2.2154613154643703e-17,-2.445094323022746e-18,-4.452840691069533e-19,0.8355899690432205,0.28536788228548354,0.04756131371424726,-0.8355899690432205,-0.28536788228548354,-0.04756131371424726
0.51,-2.2517892335361044e-17,-2.4128035709856773e-18,-4.375246755658105e-19,0.8322093818824063,0.28780360600401655,0.04796726766733609,-0.8322093818824063,-0.28780360600401655,-0.04796726766733609
0.515,-2.288161114575379e-17,-2.385440825512032e-18,-4.313974569009219e-19,0.8287908751549544,0.290226215745824,0.04837103595763734,-0.8287908751549544,-0.290226215745824,-0.04837103595763734
0.52,-2.320573698333653e-17,-2.3743825722851046e-18,-4.3317610204762202e-19,0.8253342937558976,0.2926354922625196,0.04877258204375327,-0.8253342937558976,-0.2926354922625196,-0.04877258204375327
0.525,-2.3500476408026835e-17,-2.372484618871213e-18,-4.397961474178691e-19,0.8218394799960862,0.2950312126512134,0.049171868775202236,-0.8218394799960862,-0.2950312126512134,-0.049171868775202236
0.53,-2.3798749025279164e-17,-2.365493452793797e-18,-4.441337425315468e-19,0.8183062735615687,0.29741315025734455,0.04956885837622409,-0.8183062735615687,-0.29741315025734455,-0.04956885837622409
0.535,-2.4136389189411957e-17,-2.340027394013888e-18,-4.387952142240659e-19,0.8147345114721241,0.2997810745739955,0.04996351242899925,-0.8147345114721241,-0.2997810745739955,-0.04996351242899925
0.54,-2.4539138432280494e-17,-2.288562388011829e-18,-4.185975617488467e-19,0.8111240280389179,0.30213475113757954,0.05035579185626325,-0.8111240280389179,-0.30213475113757954,-0.05035579185626325
0.545,-2.5015491522448064e-17,-2.2118572856651124e-18,-3.819200150932625e-19,0.8074746548212599,0.30447394141979145,0.050745656903298575,-0.8074746548212599,-0.30447394141979145,-0.050745656903298575
0.55,-2.555445906000803e-17,-2.119253456117213e-18,-3.31106788826628e-19,0.8037862205824322,0.30679840271571257,0.051133067119285426,-0.8037862205824322,-0.30679840271571257,-0.051133067119285426
0.555,-2.612730951220936e-17,-2.0272835788322854e-18,-2.7210116379880967e-19,0.8000585512445679,0.30910788802796013,0.051517981337993346,-0.8000585512445679,-0.30910788802796013,-0.051517981337993346
0.56,-2.669235359503817e-17,-1.9570244610305995e-18,-2.1349102900804508e-19,0.7962914698425501,0.31140214594677174,0.05190035765779529,-0.7962914698425501,-0.31140214594677174,-0.05190035765779529
0.5650000000000001,-2.72018339059079e-17,-1.930628726699587e-18,-1.6514601595654377e-19,0.7924847964769075,0.31368092052591634,0.05228015342098605,-0.7924847964769075,-0.31368092052591634,-0.05228015342098605
0.5700000000000001,-2.7609982712610608e-17,-1.9674702233753775e-18,-1.3662635781246373e-19,0.7886383482656818,0.31594395115432045,0.052657325192386736,-0.7886383482656818,-0.31594395115432045,-0.052657325192386736
